web-scraper-order,web-scraper-start-url,Date,Open,Close*
"1615853788-481","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 07, 2020","3,058.55","3,000.12"
"1615853788-443","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Aug 28, 2020","3,423.00","3,401.80"
"1615853788-554","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 23, 2020","1,827.75","1,902.83"
"1615853788-408","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 19, 2020","3,299.61","3,207.21"
"1615853788-539","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 14, 2020","2,200.47","2,283.32"
"1615853788-368","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 15, 2020","3,181.01","3,165.12"
"1615853788-508","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 28, 2020","2,384.33","2,401.10"
"1615853788-483","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 02, 2020","2,912.01","2,890.30"
"1615853788-446","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Aug 25, 2020","3,294.99","3,346.49"
"1615853788-362","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 23, 2020","3,205.00","3,185.27"
"1615853788-484","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 01, 2020","2,757.99","2,878.70"
"1615853788-555","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 20, 2020","1,926.31","1,846.09"
"1615853788-403","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 26, 2020","3,198.74","3,207.04"
"1615853788-599","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 16, 2020","1,882.99","1,877.94"
"1615853788-439","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 03, 2020","3,485.00","3,368.00"
"1615853788-557","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 18, 2020","1,750.00","1,830.00"
"1615853788-445","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Aug 26, 2020","3,351.11","3,441.85"
"1615853788-418","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 05, 2020","3,145.84","3,199.20"
"1615853788-330","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 10, 2021","3,314.00","3,286.58"
"1615853788-377","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 02, 2020","3,221.65","3,203.53"
"1615853788-505","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jun 02, 2020","2,467.00","2,472.41"
"1615853788-551","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 26, 2020","1,902.00","1,955.49"
"1615853788-566","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 05, 2020","1,933.00","1,924.03"
"1615853788-537","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 16, 2020","2,346.00","2,408.19"
"1615853788-341","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 26, 2021","3,296.36","3,326.13"
"1615853788-353","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 07, 2021","3,157.00","3,162.16"
"1615853788-416","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 07, 2020","3,135.00","3,195.69"
"1615853788-406","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 21, 2020","3,212.50","3,184.94"
"1615853788-489","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jun 24, 2020","2,780.00","2,734.40"
"1615853788-598","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 17, 2020","1,885.89","1,864.72"
"1615853788-504","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jun 03, 2020","2,468.01","2,478.40"
"1615853788-349","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 13, 2021","3,128.44","3,165.89"
"1615853788-336","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 02, 2021","3,380.00","3,380.00"
"1615853788-426","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 23, 2020","3,120.43","2,999.86"
"1615853788-477","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 13, 2020","3,251.06","3,104.00"
"1615853788-413","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 12, 2020","3,349.94","3,442.93"
"1615853788-478","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 10, 2020","3,191.76","3,200.00"
"1615853788-540","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 13, 2020","2,040.00","2,168.87"
"1615853788-452","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Aug 17, 2020","3,173.12","3,182.41"
"1615853788-541","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 09, 2020","2,044.30","2,042.76"
"1615853788-351","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 11, 2021","3,148.01","3,114.21"
"1615853788-450","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Aug 19, 2020","3,303.01","3,260.48"
"1615853788-320","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 25, 2021","3,136.74","3,057.16"
"1615853788-392","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 10, 2020","3,095.02","3,035.02"
"1615853788-424","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 25, 2020","3,054.86","3,095.13"
"1615853788-542","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 08, 2020","2,021.00","2,043.00"
"1615853788-470","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 22, 2020","3,125.00","3,099.91"
"1615853788-501","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jun 08, 2020","2,500.20","2,524.06"
"1615853788-338","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 29, 2021","3,230.00","3,206.20"
"1615853788-591","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 29, 2020","1,864.00","1,858.00"
"1615853788-531","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 24, 2020","2,417.00","2,410.22"
"1615853788-398","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 02, 2020","3,061.74","3,004.48"
"1615853788-582","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 11, 2020","2,150.90","2,150.80"
"1615853788-401","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 28, 2020","3,249.30","3,162.78"
"1615853788-528","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 29, 2020","2,330.01","2,372.71"
"1615853788-507","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 29, 2020","2,415.94","2,442.37"
"1615853788-318","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 01, 2021","3,127.89","3,146.14"
"1615853788-389","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 13, 2020","3,122.00","3,128.81"
"1615853788-586","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 05, 2020","2,071.02","2,039.87"
"1615853788-384","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 20, 2020","3,117.02","3,099.40"
"1615853788-459","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Aug 06, 2020","3,194.36","3,225.00"
"1615853788-410","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 15, 2020","3,292.01","3,338.65"
"1615853788-352","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 08, 2021","3,180.00","3,182.70"
"1615853788-375","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 04, 2020","3,198.21","3,162.58"
"1615853788-480","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 08, 2020","3,022.61","3,081.11"
"1615853788-391","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 11, 2020","3,061.78","3,137.39"
"1615853788-573","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 25, 2020","2,026.42","1,972.74"
"1615853788-608","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 03, 2020","1,864.50","1,874.97"
"1615853788-328","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 12, 2021","3,250.00","3,277.71"
"1615853788-549","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 30, 2020","1,922.83","1,963.95"
"1615853788-329","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 11, 2021","3,292.00","3,262.13"
"1615853788-390","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 12, 2020","3,159.95","3,110.28"
"1615853788-520","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 11, 2020","2,374.70","2,409.00"
"1615853788-332","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 08, 2021","3,358.50","3,322.94"
"1615853788-606","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 07, 2020","1,904.50","1,906.86"
"1615853788-333","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 05, 2021","3,319.00","3,352.15"
"1615853788-563","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 10, 2020","1,870.88","1,891.82"
"1615853788-460","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Aug 05, 2020","3,143.77","3,205.03"
