web-scraper-order,web-scraper-start-url,Date,Open,Close*
"1615853728-271","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 25, 2020","75.24","72.02"
"1615853728-174","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 13, 2020","97.26","95.48"
"1615853728-279","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 12, 2020","80.37","81.80"
"1615853728-284","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 06, 2020","80.64","81.30"
"1615853728-181","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 01, 2020","91.28","91.03"
"1615853728-163","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 28, 2020","94.37","93.25"
"1615853728-308","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 02, 2020","74.06","75.09"
"1615853728-158","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Aug 04, 2020","109.13","109.67"
"1615853728-55","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 24, 2020","131.32","131.97"
"1615853728-82","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 16, 2020","118.92","120.30"
"1615853728-84","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 12, 2020","119.62","119.21"
"1615853728-252","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 23, 2020","57.02","56.09"
"1615853728-241","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 07, 2020","67.70","64.86"
"1615853728-9","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 03, 2021","124.81","122.06"
"1615853728-276","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 18, 2020","78.84","79.75"
"1615853728-36","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 25, 2021","143.07","142.92"
"1615853728-106","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 14, 2020","121.00","121.19"
"1615853728-14","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 24, 2021","124.94","125.35"
"1615853728-249","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 26, 2020","61.63","64.61"
"1615853728-125","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 17, 2020","109.72","110.34"
"1615853728-291","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 28, 2020","78.15","79.42"
"1615853728-157","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Aug 05, 2020","109.38","110.06"
"1615853728-100","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 22, 2020","117.45","115.75"
"1615853728-34","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 27, 2021","143.43","142.06"
"1615853728-122","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 22, 2020","112.68","111.81"
"1615853728-226","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 29, 2020","71.18","71.93"
"1615853728-114","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 02, 2020","112.89","113.02"
"1615853728-175","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 10, 2020","95.33","95.92"
"1615853728-227","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 28, 2020","71.27","69.64"
"1615853728-282","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 07, 2020","80.59","80.01"
"1615853728-131","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 09, 2020","117.26","117.32"
"1615853728-302","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1615766400&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 10, 2020","77.65","77.58"
