web-scraper-order,web-scraper-start-url,Clave,Razon_social
"1614868326-5","https://www.biva.mx/empresas","ACCELSA","ACCEL, S.A.B. DE C.V."
"1614868326-4","https://www.biva.mx/empresas","AC","ARCA CONTINENTAL, S.A.B. DE C.V."
"1614868326-3","https://www.biva.mx/empresas","AA2CPI","BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO"
"1614868326-8","https://www.biva.mx/empresas","ACTINVR","CORPORACIÓN ACTINVER, S.A.B. DE C.V."
"1614868326-1","https://www.biva.mx/empresas","123LCB","BANCO ACTINVER, S.A. INSTITUCIÓN DE BANCA MÚLTIPLE, GRUPO FINANCIERO ACTINVER"
"1614868326-9","https://www.biva.mx/empresas","ACTPI","CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE"
"1614868326-2","https://www.biva.mx/empresas","AA1CK","BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO"
"1614868326-6","https://www.biva.mx/empresas","ACONCK","BANCO NACIONAL DE MÉXICO, S.A., INTEGRANTE DEL GRUPO FINANCIERO BANAMEX"
"1614868326-7","https://www.biva.mx/empresas","ACTIN","ACTINVER CASA DE BOLSA, S.A. DE C.V., GRUPO FINANCIERO ACTINVER"
"1614868326-10","https://www.biva.mx/empresas","ADMEXCK","BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO"
