web-scraper-order,web-scraper-start-url,Date,Open,Close
1620615670-23602,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 1985",0.1,0.09
1620615670-23590,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 1986",0.13,0.14
1620615670-23578,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 1987",0.28,0.35
1620615670-23561,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 1988",0.35,0.37
1620615670-23545,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 1989",0.32,0.35
1620615670-23529,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 1990",0.36,0.35
1620615670-23513,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 1991",0.61,0.49
1620615670-23497,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 1992",0.51,0.54
1620615670-23481,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 1993",0.46,0.46
1620615670-23465,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 1994",0.29,0.27
1620615670-23449,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 1995",0.32,0.34
1620615670-23434,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 1996",0.22,0.22
1620615670-23422,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 1997",0.16,0.15
1620615670-23410,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 1998",0.24,0.24
1620615670-23398,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 1999",0.32,0.41
1620615670-23386,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2000",1.21,1.11
1620615670-23373,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2001",0.39,0.46
1620615670-23361,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2002",0.42,0.43
1620615670-23349,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2003",0.25,0.25
1620615670-23337,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2004",0.48,0.46
1620615670-23324,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2005",1.5,1.29
1620615670-23312,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2006",2.27,2.51
1620615670-23300,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2007",3.36,3.56
1620615670-23288,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2008",5.22,6.21
1620615670-23276,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2009",3.72,4.49
1620615670-23264,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2010",8.48,9.32
1620615670-23252,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2011",12.54,12.5
1620615670-23240,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2012",21.49,20.86
1620615670-23225,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2013",15.78,15.81
1620615670-23209,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2014",19.21,21.07
1620615670-23192,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2015",31.2,31.29
1620615670-23176,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2016",27.19,23.43
1620615670-23160,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2017",35.93,35.91
1620615670-23144,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2018",41.66,41.31
1620615670-23128,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2019",47.91,50.17
1620615670-23112,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2020",61.63,73.45
1620615670-23095,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2021",123.66,131.46
1620615670-23598,https://finance.yahoo.com/quote/AAPL/history?period1=345427200&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 1985",0.07,0.07
