web-scraper-order,web-scraper-start-url,Date,Open,Close
1620615576-23081,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 1998",7.1,7.65
1620615576-23067,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 1999",89.69,86.03
1620615576-23054,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2000",65.44,55.19
1620615576-23042,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2001",10.33,15.78
1620615576-23030,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2002",14.28,16.69
1620615576-23018,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2003",25.55,28.69
1620615576-23006,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2004",43.45,43.6
1620615576-22994,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2005",34.63,32.36
1620615576-22982,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2006",36.67,35.21
1620615576-22970,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2007",39.85,61.33
1620615576-22958,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2008",72.99,78.63
1620615576-22946,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2009",73.02,80.52
1620615576-22934,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2010",135.8,137.1
1620615576-22922,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2011",181.58,195.81
1620615576-22910,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2012",198.02,231.9
1620615576-22898,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2013",266.98,253.81
1620615576-22886,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2014",338.09,304.13
1620615576-22874,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2015",372.1,421.78
1620615576-22862,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2016",590.49,659.59
1620615576-22850,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2017",888,924.99
1620615576-22838,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2018",1417.62,1566.13
1620615576-22826,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2019",1800.11,1926.52
1620615576-22814,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2020",1932.97,2474
1620615576-22802,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2021",3117.94,3467.42
1620615576-23089,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 1997",2.34,2.34
1620615576-23076,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 1998",18.29,13.96
1620615576-23063,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 1999",49.19,62.19
1620615576-23050,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2000",30.63,41.5
1620615576-23038,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2001",12.73,8.94
1620615576-23026,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2002",14.31,14.94
1620615576-23014,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2003",41.41,46.32
1620615576-23002,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2004",38.45,38.14
1620615576-22990,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2005",44.88,42.7
1620615576-22978,https://finance.yahoo.com/quote/AMZN/history?period1=863654400&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2006",26.55,30.83
