web-scraper-order,web-scraper-start-url,Date,Open,Close
1620615863-24033,https://finance.yahoo.com/quote/GOOG/history?period1=1092873600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2005",90.54,109.59
1620615863-24021,https://finance.yahoo.com/quote/GOOG/history?period1=1092873600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2006",194.04,208.19
1620615863-24009,https://finance.yahoo.com/quote/GOOG/history?period1=1092873600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2007",228.03,234.81
1620615863-23997,https://finance.yahoo.com/quote/GOOG/history?period1=1092873600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2008",223.03,286.07
1620615863-23985,https://finance.yahoo.com/quote/GOOG/history?period1=1092873600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2009",171.25,197.25
1620615863-23973,https://finance.yahoo.com/quote/GOOG/history?period1=1092873600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2010",284.61,261.87
1620615863-23961,https://finance.yahoo.com/quote/GOOG/history?period1=1092873600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2011",293.28,271.03
1620615863-23949,https://finance.yahoo.com/quote/GOOG/history?period1=1092873600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2012",319.19,301.3
1620615863-23937,https://finance.yahoo.com/quote/GOOG/history?period1=1092873600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2013",396.02,410.75
1620615863-23924,https://finance.yahoo.com/quote/GOOG/history?period1=1092873600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2014",557.18,525.22
1620615863-23912,https://finance.yahoo.com/quote/GOOG/history?period1=1092873600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2015",547.1,537.34
1620615863-23899,https://finance.yahoo.com/quote/GOOG/history?period1=1092873600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2016",738.6,693.01
1620615863-23887,https://finance.yahoo.com/quote/GOOG/history?period1=1092873600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2017",829.22,905.96
1620615863-23875,https://finance.yahoo.com/quote/GOOG/history?period1=1092873600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2018",1022.82,1017.33
1620615863-23863,https://finance.yahoo.com/quote/GOOG/history?period1=1092873600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2019",1184.1,1188.48
1620615863-23851,https://finance.yahoo.com/quote/GOOG/history?period1=1092873600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2020",1122,1348.66
1620615863-23839,https://finance.yahoo.com/quote/GOOG/history?period1=1092873600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2021",2097.95,2410.12
1620615863-24029,https://finance.yahoo.com/quote/GOOG/history?period1=1092873600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2005",143.52,142.47
1620615863-24017,https://finance.yahoo.com/quote/GOOG/history?period1=1092873600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2006",191.84,188.56
1620615863-24005,https://finance.yahoo.com/quote/GOOG/history?period1=1092873600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2007",254.3,256.66
1620615863-23993,https://finance.yahoo.com/quote/GOOG/history?period1=1092873600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2008",235.37,230.78
1620615863-23981,https://finance.yahoo.com/quote/GOOG/history?period1=1092873600&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2009",223.53,229.97
