web-scraper-order,web-scraper-start-url,Date,Open,Close
1620615779-23826,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2003",1.46,1.63
1620615779-23813,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2004",5.16,3.62
1620615779-23801,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2005",1.56,1.65
1620615779-23789,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2006",4.14,4.23
1620615779-23777,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2007",3.33,3.17
1620615779-23765,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2008",5.07,4.57
1620615779-23753,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2009",6.11,6.47
1620615779-23741,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2010",10.52,14.13
1620615779-23729,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2011",34.43,33.24
1620615779-23717,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2012",16.4,11.45
1620615779-23705,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2013",27.28,30.87
1620615779-23693,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2014",50.25,46.01
1620615779-23681,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2015",59.64,79.5
1620615779-23668,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2016",102.93,90.03
1620615779-23656,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2017",146.7,152.2
1620615779-23644,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2018",291.94,312.46
1620615779-23632,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2019",359,370.54
1620615779-23620,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2020",376.05,419.85
1620615779-23608,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2021",529.93,513.47
1620615779-23834,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2002",0.95,0.94
1620615779-23822,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2003",1.85,2.38
1620615779-23809,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2004",2.83,1.99
1620615779-23797,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2005",2.67,3.08
1620615779-23785,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2006",2.96,2.86
1620615779-23773,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2007",2.46,2.5
1620615779-23761,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2008",4.36,4.41
1620615779-23749,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2009",6.34,6.23
1620615779-23737,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2010",14.86,17.93
1620615779-23725,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2011",38.36,33.57
1620615779-23713,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2012",8.2,8.53
1620615779-23701,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2013",35.22,40.56
1620615779-23689,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2014",60.25,68.23
1620615779-23676,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2015",114.6,115.03
1620615779-23664,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2016",91.23,97.45
1620615779-23652,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2017",182.49,174.71
1620615779-23640,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2018",335.87,367.68
1620615779-23628,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2019",324.25,293.75
1620615779-23616,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2020",490.86,529.56
1620615779-23830,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2002",0.74,0.79
1620615779-23818,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2003",3.53,3.91
1620615779-23805,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2004",1.63,1.76
1620615779-23793,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2005",3.96,3.87
1620615779-23781,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2006",4.2,3.69
1620615779-23769,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2007",3.43,3.8
1620615779-23757,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2008",3.17,4.27
1620615779-23745,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2009",8.22,7.87
1620615779-23733,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2010",29.69,25.1
1620615779-23721,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2011",9.2,9.9
1620615779-23709,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2012",11.69,13.23
1620615779-23697,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2013",52.13,52.6
1620615779-23685,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2014",49.29,48.8
1620615779-23672,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2015",124.47,114.38
1620615779-23660,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2016",117.52,123.8
1620615779-23648,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2017",186.99,191.96
1620615779-23636,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2018",293.19,267.66
1620615779-23624,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2019",314.39,323.57
1620615779-23612,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2020",492.34,540.73
1620615779-23828,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2003",0.94,1.22
1620615779-23816,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2004",5.3,4.91
1620615779-23803,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2005",1.63,1.53
1620615779-23791,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2006",3.91,3.83
1620615779-23779,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2007",3.27,3.22
1620615779-23767,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2008",3.54,4.51
1620615779-23755,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2009",5.08,5.18
1620615779-23743,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2010",8.83,9.44
1620615779-23731,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2011",30.66,29.52
1620615779-23719,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2012",17.34,15.82
1620615779-23707,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2013",24.29,26.87
1620615779-23695,https://finance.yahoo.com/quote/NFLX/history?period1=1022112000&period2=1620518400&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2014",58.84,63.66
